benchmark_id ,model             ,file                                                                              ,query_id                                          ,method         ,redundant_tokens ,time_generate_ms      ,time_apply_ms            ,total_tokens ,timestamp                  ,is_correct ,iterations
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              43 ,   2141.915798187256  , 2663.235902786255       ,        5406 ,2025-08-16T22:06:28.114393 ,True       ,         2
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,day_extract_isOutsideMonth                        ,morph          ,              56 ,   5201.82204246521   , 4200.342893600464       ,        5492 ,2025-08-16T22:06:32.523918 ,False      ,         2
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,search_replace ,             247 ,   7649.209022521973  ,    0.20885467529296875  ,       40579 ,2025-08-16T22:06:37.526784 ,True       ,         8
benchmark    ,claude-sonnet-4   ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              38 ,   6547.260999679565  , 2831.9828510284424      ,         241 ,2025-08-16T22:06:37.842039 ,True       ,         2
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,day_extract_isOutsideMonth                        ,search_replace ,             176 ,   4221.310615539551  ,    0.1289844512939453   ,       22848 ,2025-08-16T22:06:38.450316 ,True       ,         5
benchmark    ,gpt-o4-mini       ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              46 ,   6635.114908218384  , 3496.0460662841797      ,        5772 ,2025-08-16T22:06:38.702325 ,True       ,         2
benchmark    ,gpt-o3            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              35 ,   6535.76922416687   , 3592.4131870269775      ,        5673 ,2025-08-16T22:06:39.796633 ,True       ,         2
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,refactor_classnames                               ,morph          ,              35 ,   2494.529962539673  , 2789.5050048828125      ,        4970 ,2025-08-16T22:06:46.233250 ,True       ,         2
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,refactor_setStyle_diff_and_return                 ,morph          ,              50 ,   6436.897993087769  , 2975.680112838745       ,        5555 ,2025-08-16T22:06:50.093639 ,True       ,         2
benchmark    ,claude-sonnet-3.7 ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              31 ,  18889.777898788452  , 2649.7271060943604      ,         782 ,2025-08-16T22:06:50.308331 ,True       ,         2
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,refactor_classnames                               ,search_replace ,             358 ,   4425.124168395996  ,    0                    ,        5268 ,2025-08-16T22:06:50.660027 ,False      ,         1
benchmark    ,claude-opus-4.1   ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              48 ,  21079.596042633057  , 2776.846170425415       ,         499 ,2025-08-16T22:06:53.494410 ,True       ,         2
benchmark    ,claude-sonnet-4   ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,search_replace ,             253 ,  14237.441062927246  ,    0.08082389831542969  ,         223 ,2025-08-16T22:06:53.805672 ,True       ,         3
benchmark    ,gpt-o4-mini       ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,search_replace ,              43 ,  11609.28201675415   ,    0.053882598876953125 ,       11169 ,2025-08-16T22:06:57.722785 ,True       ,         3
benchmark    ,claude-sonnet-4   ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,day_extract_isOutsideMonth                        ,morph          ,             157 ,  28459.446907043457  , 5168.172836303711       ,        1041 ,2025-08-16T22:06:58.348428 ,True       ,         3
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,day_tsdoc_all_methods                             ,morph          ,              41 ,   4508.606195449829  , 4524.539232254028       ,        5337 ,2025-08-16T22:07:02.352734 ,True       ,         2
