benchmark_id ,model             ,file                                                                              ,query_id                                          ,method         ,redundant_tokens ,time_generate_ms      ,time_apply_ms           ,total_tokens ,timestamp                  ,is_correct
benchmark    ,gemini-flash-2.5  ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              67 ,   3623.8749027252197 ,2565.703868865967       ,         159 ,2025-08-16T03:00:56.281517 ,True
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,day_extract_isOutsideMonth                        ,morph          ,              55 ,   5258.718967437744  ,3108.337163925171       ,         780 ,2025-08-16T03:00:58.356027 ,True
benchmark    ,claude-sonnet-4   ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              47 ,   5971.498012542725  ,3248.5649585723877      ,         138 ,2025-08-16T03:00:59.354753 ,True
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,day_extract_isOutsideMonth                        ,search_replace ,             115 ,   2283.074140548706  ,   0.13589859008789062  ,         265 ,2025-08-16T03:01:00.640302 ,False
benchmark    ,claude-opus-4.1   ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,morph          ,              53 ,   8975.7239818573    ,2933.722734451294       ,         158 ,2025-08-16T03:01:01.948775 ,True
benchmark    ,claude-sonnet-4   ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,day_extract_isOutsideMonth                        ,morph          ,              61 ,   9774.468898773193  ,2366.9612407684326      ,         624 ,2025-08-16T03:01:02.101898 ,True
benchmark    ,claude-sonnet-3.7 ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,day_extract_isOutsideMonth                        ,morph          ,              59 ,  14201.288223266602  ,2338.301181793213       ,         760 ,2025-08-16T03:01:06.412507 ,True
benchmark    ,claude-sonnet-4   ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/Canvas.ts            ,fix_setStyle_key_collection                       ,search_replace ,             151 ,   6002.993106842041  ,   0.06699562072753906  ,         194 ,2025-08-16T03:01:07.135954 ,True
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,refactor_classnames                               ,morph          ,              35 ,   2402.1151065826416 ,2471.3571071624756      ,         391 ,2025-08-16T03:01:07.138424 ,True
benchmark    ,gpt-4o            ,/Users/dhruvbhatia/CODE/misc/morph/coding-agent-bench/corpus/day.tsx              ,refactor_classnames                               ,search_replace ,              36 ,   2152.9388427734375 ,   0.05698204040527344  ,         279 ,2025-08-16T03:01:10.799752 ,False
